"Reference","Value","Qty"
"C1","1u","1"
"C2,C3","1n","2"
"C4,C7,C8,C17","10u","4"
"C5","22u","1"
"C6","22p","1"
"C9,C10,C11,C12,C13,C14,C15","100n","7"
"C16","10n","1"
"D1","1N4148","1"
"D2","3mm LED","1"
"D3,D4","1N5819","2"
"J1, J2, J3, J4, J5, J6","WQP-PJ301M-12","6"
"J7","IDC 10P Header Vertical","1"
"Q1","BC547","1"
"R1,R8,R9,R10,R15,R16","1k","6"
"R2,R7","4k7","2"
"R3","10k","1"
"R4","15k","1"
"R5,R11,R12,R14","100k","4"
"R6","6k8","1"
"R13","47k","1"
"R17,R18","10","2"
"RV1","B1M0 PTV09","1"
"RV2","A100k PTV112-4 (dual gang)","1"
"RV3","B100k PTV09","1"
"SW1","2MS1T1B1M1 SPDT","1"
"U1","40106","1"
"U2","LF398","1"
"U3","TL072","1"
